"","j_hidp","j_qfhigh_dv"
"1066",73630418,2
"1067",72467618,2
"1068",73637218,-8
"1069",73657618,1
"1070",73664418,-8
"1071",72481218,7
"1072",72481218,96
"1073",72488018,96
"1074",73678018,-8
"1075",73691618,1
"1076",73698418,1
"1077",73698418,-8
"1078",73698418,7
"1079",73698418,7
"1080",69611618,3
"1081",73705218,-8
"1082",73712018,-8
"1083",73712018,-8
"1084",72501618,2
"1085",72501618,2
"1086",72508418,96
"1087",72508418,96
"1088",73718818,96
"1089",73718818,-8
"1090",73725618,-8
"1091",72522018,1
"1092",73732418,-8
"1093",73739218,96
"1094",73746018,-8
"1095",69747618,96
"1096",73752818,-8
"1097",72528818,2
"1098",73759618,-8
"1099",73759618,5
"1100",73759618,7
"1101",73759618,7
"1102",73773218,1
"1103",73773218,-8
"1104",73773218,7
"1105",73780018,96
"1106",72549218,13
"1107",72549218,16
"1108",72549218,13
"1109",72556018,96
"1110",72576418,3
"1111",72583218,96
"1112",72603618,2
"1113",73800418,-8
"1114",73800418,-8
"1115",69346418,7
"1116",72624018,7
"1117",72617218,96
"1118",72624018,2
"1119",73807218,-8
"1120",73807218,-8
"1121",73807218,13
"1122",73820818,-8
"1123",73827618,1
"1124",73834418,4
"1125",73834418,96
"1126",73854818,-8
"1127",73861618,96
"1128",73861618,96
"1129",73868418,-8
"1130",73868418,96
"1131",73875218,96
"1132",73888818,96
"1133",73882018,96
"1134",73902418,96
"1135",73902418,96
"1136",73909218,-8
"1137",73895618,1
"1138",73909218,13
"1139",73922818,-8
"1140",73929618,-8
"1141",72658018,3
"1142",72658018,1
"1143",72664818,2
"1144",69985618,13
"1145",73950018,-8
"1146",73956818,-8
"1147",72671618,1
"1148",73963618,96
"1149",73970418,2
"1150",70332418,3
"1151",73977218,-8
"1152",73977218,-8
"1153",72692018,2
"1154",73984018,-8
"1155",73984018,96
"1156",73990818,2
"1157",73984018,7
"1158",73984018,7
"1159",73997618,96
"1160",74004418,-8
"1161",74004418,14
"1162",70087618,96
"1163",74011218,96
"1164",72726018,13
"1165",72726018,13
"1166",74018018,-8
"1167",74024818,-8
"1168",74024818,-8
"1169",74038418,-8
"1170",74045218,96
"1171",74038418,-8
"1172",74052018,2
"1173",74052018,13
"1174",74058818,-8
"1175",74058818,3
"1176",74058818,13
"1177",74065618,96
"1178",74065618,-8
"1179",74072418,-8
"1180",74072418,-8
"1181",74072418,7
"1182",74072418,7
"1183",74079218,-8
"1184",74079218,96
"1185",74086018,-8
"1186",74086018,11
"1187",70325618,3
"1188",70339218,10
"1189",74092818,-8
"1190",74092818,96
"1191",74099618,-8
"1192",74106418,7
"1193",74113218,-8
"1194",70169218,3
"1195",74133618,-8
"1196",74133618,-8
"1197",70441218,3
"1198",74140418,-8
"1199",74140418,-8
"1200",74147218,96
"1201",74154018,96
"1202",74160818,-8
"1203",74160818,96
"1204",74167618,-8
"1205",74167618,-8
"1206",74174418,96
"1207",74174418,-8
"1208",74174418,7
"1209",69917618,1
"1210",70441218,13
"1211",70441218,96
"1212",74188018,-8
"1213",74181218,96
"1214",74194818,-8
"1215",74201618,-8
"1216",74201618,-8
"1217",74201618,13
"1218",74208418,96
"1219",74208418,-8
"1220",74215218,1
"1221",74215218,13
"1222",74215218,10
"1223",74222018,96
"1224",74222018,96
"1225",74235618,-8
"1226",70624818,7
"1227",74242418,-8
"1228",74256018,96
"1229",71257218,7
"1230",74262818,96
"1231",74276418,2
"1232",74269618,2
"1233",74283218,4
"1234",74283218,2
"1235",74283218,96
"1236",74290018,-8
"1237",74296818,-8
"1238",74303618,2
"1239",70067218,13
"1240",71325218,2
"1241",73134018,13
"1242",71162018,3
"1243",74310418,96
"1244",74317218,2
"1245",71236818,7
"1246",74337618,96
"1247",74344418,96
"1248",74358018,96
"1249",74358018,96
"1250",74371618,96
"1251",74371618,96
"1252",70754018,1
"1253",74378418,96
"1254",74378418,-8
"1255",74398818,96
"1256",74398818,96
"1257",74412418,-8
"1258",70964818,2
"1259",74419218,-8
"1260",74419218,96
"1261",71114418,2
"1262",74426018,-8
"1263",74426018,2
"1264",74432818,96
"1265",74432818,96
"1266",74432818,7
"1267",74432818,96
"1268",74439618,96
"1269",74446418,96
"1270",74446418,96
"1271",74453218,-8
"1272",74453218,-8
"1273",71032818,13
"1274",74466818,-8
"1275",74473618,-8
"1276",71610818,2
"1277",74480418,-8
"1278",74487218,-8
"1279",74487218,-8
"1280",70237218,96
"1281",74500818,-8
"1282",74500818,-8
"1283",74507618,-8
"1284",74507618,13
"1285",74514418,-8
"1286",74514418,-8
"1287",71332018,96
"1288",74521218,-8
"1289",74528018,96
"1290",74528018,96
"1291",71277618,2
"1292",71359218,13
"1293",71332018,96
"1294",71332018,13
"1295",71413618,3
"1296",71338818,96
"1297",72617218,13
"1298",71597218,3
"1299",72080018,2
"1300",72263618,13
"1301",71774018,7
"1302",72073218,1
"1303",72216018,13
"1304",73195218,13
"1305",72263618,13
"1306",72243218,2
"1307",71209618,1
"1308",72671618,1
"1309",73467218,3
"1310",71243618,13
"1311",72447218,3
"1312",73100018,1
"1313",73188418,13
"1314",73127218,1
"1315",73990818,1
"1316",73263218,13
"1317",71787618,7
"1318",73378818,2
"1319",74521218,-9
"1320",73385618,7
"1321",74412418,13
"1322",73888818,7
"1323",73283618,2
"1324",73895618,2
"1325",73780018,96
"1326",72331618,7
"1327",71991618,11
"1328",73630418,2
"1329",75153618,7
"1330",72447218,1
"1331",72195618,16
"1332",75901618,10
"1333",72726018,96
"1334",74256018,1
"1335",74902018,2
"1336",74303618,13
"1337",75072018,2
"1338",75133218,15
"1339",72889218,2
"1340",73045618,13
"1341",74657218,2
"1342",72807618,3
"1343",75636418,1
"1344",73018418,13
"1345",75486818,2
"1346",73820818,3
